Date,news,Adj Close
2012-10-04,Sudarshan Sukhani s2analyticscom advice traders avoid Punjab current levelsSP Tulsian sptulsiancom says may disappoint market due fear asset quality However ICICI may surprise market pos,110.46553
2012-05-04,Even Kingfisher lifted lockout questions remained whether lenders restructure beleaguered airlines Rs 7000 crore loanSudarshan Sukhani s2analyticscom advice traders avoid Talwalkars Better one sell stocks like IOB Baroda current leveShares State India fall 12 percent concerns potential increase bad loans JulySeptember quarter staterun bPunjab came Q2 results today The banks net profit fell 116 percent yearonyear Rs 1065 crore Q2 The bankPunjab support Rs 700 says Vaibhav Agrawal Angel Brokingmindra Hazari Nirmal Bang Securities believes aggressive growth credit profile resulted PNBs declining profits However sIndias second largest stateowned lender terms total book size Punjab Banks second quarter JulySeptember net profit fell nIn interview CNBCTV18 Sampath Kumar IIFL Institutional Equities outlined expectations private sector lender ICICI Banks second quIn CNBCTV18s popular show Bulls Eye Sharmila Joshi sharmilajoshicom shares trading strategy dayPublic sector lender Punjab Banks profit tax expected remain flat around Rs 1218 crore second quarter current finaAvoid Hexaware Technologies says Sudarshan Sukhani s2analyticscomBulls Eye CNBCTV18s popular game show market experts come together dish trading strategies make week exciting,92.281609
2012-03-27,Punjab Banks second quarter JulySeptember net profit fell nearly 12 yearoryear Rs 1066 crore 201213 Provisions bad l,106.177773
2012-03-26,In interview CNBCTV18 Vaibhav Agrawal Banking Angel Broking reviewed second quarter earnings public sector lender India The In CNBCTV18s popular show Bulls Eye Aashish Tater FortuneWizardcom shares trading strategy dayDolat Capital bullish Punjab recommended accumulate rating stock target Rs 892 October 29 2Private sector banks like Axis Yes ICICI declared second quarter results Vishal Goyal executive director UBS SecurBulls Eye CNBCTV18s popular game show market experts come together dish trading strategies make week exciting,104.577034
2012-03-19,Sudarshan Sukhani s2analyticscom view one short sell Baroda Punjab However HDFC good buyMotilal Oswal bullish Punjab recommended buy rating stock target Rs 830 October 29 2012 resState India Punjab may continue show underperformance says Siddharth Bhamre Angel Broking,106.424507
2012-03-15,Emkay Global Financial Services bearish Punjab recommended reduce rating stock target Rs 610,114.370911
2012-03-14,Angel Broking bullish Punjab recommended accumulate rating stock target price Rs 843 October,117.796181
2012-12-03,Indias largest lender State India implement cheque truncation system CTS 2010 new standard cheques mandated b,103.891449
2012-07-03,Reliance Capital Purvankara posted results today While Reliance Capital made profit Rs 400 crore including sale 26 percen,110.0476
2012-02-27,Vijay Mallya lose controlling stake United Spirits USL Diageo Group acquired 534 state comapny USD 2 billion SP T,104.29588299999999
